sample,id,threeD,shadow,centerLine,leftBorderType,leftBorderWidth
base,1,0,0,NONE,NONE,0.1 mm
base,2,0,0,NONE,NONE,0.1 mm
base,3,0,0,NONE,NONE,0.1 mm
base,4,0,0,NONE,NONE,0.1 mm
01_headings,1,0,0,NONE,NONE,0.1 mm
01_headings,2,0,0,NONE,NONE,0.1 mm
01_headings,3,0,0,NONE,NONE,0.1 mm
01_headings,4,0,0,NONE,NONE,0.1 mm
01_headings,5,0,0,NONE,NONE,0.1 mm
02_bullet_list,1,0,0,NONE,NONE,0.1 mm
02_bullet_list,2,0,0,NONE,NONE,0.1 mm
02_bullet_list,3,0,0,NONE,NONE,0.1 mm
02_bullet_list,4,0,0,NONE,NONE,0.1 mm
02_bullet_list,5,0,0,NONE,NONE,0.1 mm
03_ordered_list,1,0,0,NONE,NONE,0.1 mm
03_ordered_list,2,0,0,NONE,NONE,0.1 mm
03_ordered_list,3,0,0,NONE,NONE,0.1 mm
03_ordered_list,4,0,0,NONE,NONE,0.1 mm
03_ordered_list,5,0,0,NONE,NONE,0.1 mm
04_blockquote_code,1,0,0,NONE,NONE,0.1 mm
04_blockquote_code,2,0,0,NONE,NONE,0.1 mm
04_blockquote_code,3,0,0,NONE,NONE,0.1 mm
04_blockquote_code,4,0,0,NONE,NONE,0.1 mm
04_blockquote_code,5,0,0,NONE,NONE,0.1 mm
05_table,1,0,0,NONE,NONE,0.1 mm
05_table,2,0,0,NONE,NONE,0.1 mm
05_table,3,0,0,NONE,NONE,0.1 mm
05_table,4,0,0,NONE,NONE,0.1 mm
05_table,5,0,0,NONE,NONE,0.1 mm
05_table,6,0,0,NONE,SOLID,0.12 mm
06_figure,1,0,0,NONE,NONE,0.1 mm
06_figure,2,0,0,NONE,NONE,0.1 mm
06_figure,3,0,0,NONE,NONE,0.1 mm
06_figure,4,0,0,NONE,NONE,0.1 mm
06_figure,5,0,0,NONE,NONE,0.1 mm
06_figure,6,0,0,NONE,SOLID,0.12 mm
07_footnote,1,0,0,NONE,NONE,0.1 mm
07_footnote,2,0,0,NONE,NONE,0.1 mm
07_footnote,3,0,0,NONE,NONE,0.1 mm
07_footnote,4,0,0,NONE,NONE,0.1 mm
07_footnote,5,0,0,NONE,NONE,0.1 mm
07_footnote,6,0,0,NONE,SOLID,0.12 mm
08_references,1,0,0,NONE,NONE,0.1 mm
08_references,2,0,0,NONE,NONE,0.1 mm
08_references,3,0,0,NONE,NONE,0.1 mm
08_references,4,0,0,NONE,NONE,0.1 mm
08_references,5,0,0,NONE,NONE,0.1 mm
08_references,6,0,0,NONE,SOLID,0.12 mm
09_equations,1,0,0,NONE,NONE,0.1 mm
09_equations,2,0,0,NONE,NONE,0.1 mm
09_equations,3,0,0,NONE,NONE,0.1 mm
09_equations,4,0,0,NONE,NONE,0.1 mm
09_equations,5,0,0,NONE,NONE,0.1 mm
09_equations,6,0,0,NONE,SOLID,0.12 mm
