sample,id,height,textColor,shadeColor,borderFillIDRef,hangul_font
base,0,1000,#000000,none,2,2
base,1,900,#000000,none,2,1
base,2,900,#000000,none,2,2
base,3,1600,#2E74B5,none,2,1
base,4,1100,#000000,none,2,1
base,5,1200,#000000,none,3,0
base,6,1000,#000000,none,2,0
base,7,1300,#000000,none,1,3
base,8,900,#000000,none,2,0
01_headings,0,1000,#000000,none,2,2
01_headings,1,900,#000000,none,2,1
01_headings,2,900,#000000,none,2,2
01_headings,3,1600,#2E74B5,none,2,1
01_headings,4,1100,#000000,none,2,1
01_headings,5,1200,#000000,none,3,0
01_headings,6,1000,#000000,none,2,0
01_headings,7,1300,#000000,none,1,3
01_headings,8,900,#000000,none,2,0
01_headings,9,1600,#000000,none,5,0
01_headings,10,1400,#000000,none,5,0
01_headings,11,1400,#000000,none,4,0
01_headings,12,1200,#000000,none,3,0
02_bullet_list,0,1000,#000000,none,2,2
02_bullet_list,1,900,#000000,none,2,1
02_bullet_list,2,900,#000000,none,2,2
02_bullet_list,3,1600,#2E74B5,none,2,1
02_bullet_list,4,1100,#000000,none,2,1
02_bullet_list,5,1200,#000000,none,3,0
02_bullet_list,6,1000,#000000,none,2,0
02_bullet_list,7,1300,#000000,none,1,3
02_bullet_list,8,900,#000000,none,2,0
02_bullet_list,9,1600,#000000,none,5,0
02_bullet_list,10,1400,#000000,none,5,0
02_bullet_list,11,1400,#000000,none,4,0
02_bullet_list,12,1200,#000000,none,3,0
02_bullet_list,13,1200,#000000,none,4,0
03_ordered_list,0,1000,#000000,none,2,2
03_ordered_list,1,1200,#000000,none,3,0
03_ordered_list,2,900,#000000,none,2,1
03_ordered_list,3,900,#000000,none,2,2
03_ordered_list,4,1600,#2E74B5,none,2,1
03_ordered_list,5,1100,#000000,none,2,1
03_ordered_list,6,1200,#000000,none,3,0
03_ordered_list,7,1000,#000000,none,2,0
03_ordered_list,8,1300,#000000,none,1,3
03_ordered_list,9,900,#000000,none,2,0
03_ordered_list,10,1600,#000000,none,5,0
03_ordered_list,11,1400,#000000,none,5,0
03_ordered_list,12,1400,#000000,none,4,0
03_ordered_list,13,1200,#000000,none,3,0
03_ordered_list,14,1200,#000000,none,4,0
04_blockquote_code,0,1000,#000000,none,2,3
04_blockquote_code,1,1200,#000000,none,3,1
04_blockquote_code,2,900,#000000,none,2,2
04_blockquote_code,3,900,#000000,none,2,3
04_blockquote_code,4,1200,#000000,none,3,0
04_blockquote_code,5,1600,#2E74B5,none,2,2
04_blockquote_code,6,1100,#000000,none,2,2
04_blockquote_code,7,1200,#000000,none,3,1
04_blockquote_code,8,1000,#000000,none,2,1
04_blockquote_code,9,1300,#000000,none,1,4
04_blockquote_code,10,900,#000000,none,2,1
04_blockquote_code,11,1600,#000000,none,5,1
04_blockquote_code,12,1400,#000000,none,5,1
04_blockquote_code,13,1400,#000000,none,4,1
04_blockquote_code,14,1200,#000000,none,3,1
04_blockquote_code,15,1200,#000000,none,4,1
05_table,0,1000,#000000,none,2,3
05_table,1,1200,#000000,none,3,1
05_table,2,900,#000000,none,2,2
05_table,3,900,#000000,none,2,3
05_table,4,1200,#000000,none,3,0
05_table,5,1600,#2E74B5,none,2,2
05_table,6,1100,#000000,none,2,2
05_table,7,1000,#000000,none,2,1
05_table,8,1300,#000000,none,1,4
05_table,9,900,#000000,none,2,1
05_table,10,1600,#000000,none,5,1
05_table,11,1400,#000000,none,5,1
05_table,12,1400,#000000,none,4,1
05_table,13,1200,#000000,none,3,1
05_table,14,1200,#000000,none,4,1
05_table,15,1050,#000000,none,3,1
05_table,16,900,#000000,none,2,1
06_figure,0,1000,#000000,none,2,3
06_figure,1,1200,#000000,none,3,1
06_figure,2,900,#000000,none,2,2
06_figure,3,900,#000000,none,2,3
06_figure,4,1200,#000000,none,3,0
06_figure,5,1600,#2E74B5,none,2,2
06_figure,6,1100,#000000,none,2,2
06_figure,7,1200,#000000,none,3,1
06_figure,8,1000,#000000,none,2,1
06_figure,9,1300,#000000,none,1,4
06_figure,10,900,#000000,none,2,1
06_figure,11,1600,#000000,none,5,1
06_figure,12,1400,#000000,none,5,1
06_figure,13,1400,#000000,none,4,1
06_figure,14,1200,#000000,none,3,1
06_figure,15,1200,#000000,none,4,1
06_figure,16,1050,#000000,none,3,1
06_figure,17,900,#000000,none,2,1
06_figure,18,1200,#000000,none,4,1
06_figure,19,1600,#000000,none,1,4
07_footnote,0,1000,#000000,none,2,3
07_footnote,1,1200,#000000,none,3,1
07_footnote,2,900,#000000,none,2,2
07_footnote,3,900,#000000,none,2,3
07_footnote,4,1200,#000000,none,3,0
07_footnote,5,1600,#2E74B5,none,2,2
07_footnote,6,1100,#000000,none,2,2
07_footnote,7,1200,#000000,none,3,1
07_footnote,8,1000,#000000,none,2,1
07_footnote,9,1300,#000000,none,1,4
07_footnote,10,900,#000000,none,2,1
07_footnote,11,900,#000000,none,2,1
07_footnote,12,1600,#000000,none,5,1
07_footnote,13,1400,#000000,none,5,1
07_footnote,14,1400,#000000,none,4,1
07_footnote,15,1200,#000000,none,3,1
07_footnote,16,1200,#000000,none,4,1
07_footnote,17,1050,#000000,none,3,1
07_footnote,18,900,#000000,none,2,1
07_footnote,19,1200,#000000,none,4,1
07_footnote,20,1600,#000000,none,1,4
08_references,0,1000,#000000,none,2,4
08_references,1,1200,#000000,none,3,2
08_references,2,900,#000000,none,2,3
08_references,3,900,#000000,none,2,4
08_references,4,1200,#000000,none,3,1
08_references,5,1600,#2E74B5,none,2,3
08_references,6,1100,#000000,none,2,3
08_references,7,1200,#000000,none,3,2
08_references,8,1000,#000000,none,2,2
08_references,9,1300,#000000,none,1,5
08_references,10,900,#000000,none,2,2
08_references,11,900,#000000,none,2,2
08_references,12,1600,#000000,none,5,2
08_references,13,1400,#000000,none,5,2
08_references,14,1400,#000000,none,4,2
08_references,15,1200,#000000,none,3,2
08_references,16,1200,#000000,none,4,2
08_references,17,1050,#000000,none,3,2
08_references,18,900,#000000,none,2,2
08_references,19,1200,#000000,none,4,2
08_references,20,1600,#000000,none,1,5
08_references,21,1600,#000000,none,4,0
08_references,22,1200,#000000,none,3,2
08_references,23,1600,#000000,none,1,0
08_references,24,1200,#000000,none,3,3
09_equations,0,1000,#000000,none,2,4
09_equations,1,1200,#000000,none,3,2
09_equations,2,900,#000000,none,2,3
09_equations,3,900,#000000,none,2,4
09_equations,4,1200,#000000,none,3,1
09_equations,5,1600,#2E74B5,none,2,3
09_equations,6,1100,#000000,none,2,3
09_equations,7,1200,#000000,none,3,2
09_equations,8,1000,#000000,none,2,2
09_equations,9,1300,#000000,none,1,5
09_equations,10,900,#000000,none,2,2
09_equations,11,900,#000000,none,2,2
09_equations,12,1600,#000000,none,5,2
09_equations,13,1400,#000000,none,5,2
09_equations,14,1400,#000000,none,4,2
09_equations,15,1200,#000000,none,3,2
09_equations,16,1200,#000000,none,4,2
09_equations,17,1050,#000000,none,3,2
09_equations,18,900,#000000,none,2,2
09_equations,19,1200,#000000,none,4,2
09_equations,20,1600,#000000,none,1,5
09_equations,21,1600,#000000,none,4,0
09_equations,22,1200,#000000,none,3,2
09_equations,23,1600,#000000,none,1,0
09_equations,24,1200,#000000,none,3,3
