sample,id,start,paraHeadCount,numFormat,textOffset
base,1,0,10,DIGIT,50
01_headings,1,0,10,DIGIT,50
01_headings,2,1,10,DIGIT,50
02_bullet_list,1,0,10,DIGIT,50
02_bullet_list,2,1,10,DIGIT,50
03_ordered_list,1,0,10,DIGIT,50
03_ordered_list,2,1,10,DIGIT,50
04_blockquote_code,1,0,10,DIGIT,50
04_blockquote_code,2,1,10,DIGIT,50
05_table,1,0,10,DIGIT,50
05_table,2,1,10,DIGIT,50
06_figure,1,0,10,DIGIT,50
06_figure,2,1,10,DIGIT,50
07_footnote,1,0,10,DIGIT,50
07_footnote,2,1,10,DIGIT,50
08_references,1,0,10,DIGIT,50
08_references,2,1,10,DIGIT,50
09_equations,1,0,10,DIGIT,50
09_equations,2,1,10,DIGIT,50
