sample,id,tabPrIDRef,condense,snapToGrid,horizontal_align,left_margin
base,0,1,20,1,JUSTIFY,1000
base,1,1,20,1,JUSTIFY,2000
base,2,1,20,1,JUSTIFY,3000
base,3,1,20,1,JUSTIFY,4000
base,4,1,20,1,JUSTIFY,5000
base,5,1,20,1,JUSTIFY,6000
base,6,1,20,1,JUSTIFY,7000
base,7,0,0,1,JUSTIFY,0
base,8,0,0,1,JUSTIFY,0
base,9,0,0,1,LEFT,0
base,10,1,20,1,LEFT,0
base,11,2,0,1,LEFT,0
base,12,2,0,1,LEFT,1100
base,13,2,0,1,LEFT,2200
base,14,1,0,1,JUSTIFY,9000
base,15,1,0,1,JUSTIFY,10000
base,16,1,0,1,JUSTIFY,8000
base,17,0,0,1,JUSTIFY,0
base,18,1,0,1,JUSTIFY,0
base,19,1,0,1,JUSTIFY,0
base,20,1,0,1,JUSTIFY,0
01_headings,0,1,20,1,JUSTIFY,6000
01_headings,1,1,20,1,JUSTIFY,7000
01_headings,2,0,0,1,JUSTIFY,0
01_headings,3,0,0,1,JUSTIFY,0
01_headings,4,0,0,1,LEFT,0
01_headings,5,1,20,1,LEFT,0
01_headings,6,2,0,1,LEFT,0
01_headings,7,2,0,1,LEFT,1100
01_headings,8,2,0,1,LEFT,2200
01_headings,9,1,0,1,JUSTIFY,9000
01_headings,10,1,0,1,JUSTIFY,10000
01_headings,11,1,0,1,JUSTIFY,8000
01_headings,12,0,0,1,JUSTIFY,0
01_headings,13,1,0,1,JUSTIFY,0
01_headings,14,1,0,1,JUSTIFY,0
01_headings,15,1,0,1,LEFT,0
01_headings,16,1,0,1,JUSTIFY,0
01_headings,17,1,0,1,LEFT,0
01_headings,18,1,0,1,LEFT,0
01_headings,19,1,0,1,LEFT,0
01_headings,20,1,0,1,LEFT,0
01_headings,21,1,0,1,LEFT,0
02_bullet_list,0,1,20,1,JUSTIFY,6000
02_bullet_list,1,1,20,1,JUSTIFY,7000
02_bullet_list,2,0,0,1,JUSTIFY,0
02_bullet_list,3,0,0,1,JUSTIFY,0
02_bullet_list,4,0,0,1,LEFT,0
02_bullet_list,5,1,20,1,LEFT,0
02_bullet_list,6,2,0,1,LEFT,0
02_bullet_list,7,2,0,1,LEFT,1100
02_bullet_list,8,2,0,1,LEFT,2200
02_bullet_list,9,1,0,1,JUSTIFY,9000
02_bullet_list,10,1,0,1,JUSTIFY,10000
02_bullet_list,11,1,0,1,JUSTIFY,8000
02_bullet_list,12,0,0,1,JUSTIFY,0
02_bullet_list,13,1,0,1,JUSTIFY,0
02_bullet_list,14,1,0,1,JUSTIFY,0
02_bullet_list,15,1,0,1,LEFT,0
02_bullet_list,16,1,0,1,JUSTIFY,0
02_bullet_list,17,1,0,1,LEFT,0
02_bullet_list,18,1,0,1,LEFT,0
02_bullet_list,19,1,0,1,LEFT,0
02_bullet_list,20,1,0,1,LEFT,0
02_bullet_list,21,1,0,1,LEFT,0
02_bullet_list,22,1,0,1,JUSTIFY,1200
02_bullet_list,23,1,0,1,JUSTIFY,3600
02_bullet_list,24,1,0,1,JUSTIFY,7200
03_ordered_list,0,1,20,1,JUSTIFY,6000
03_ordered_list,1,1,20,1,JUSTIFY,7000
03_ordered_list,2,0,0,1,JUSTIFY,0
03_ordered_list,3,0,0,1,JUSTIFY,0
03_ordered_list,4,0,0,1,LEFT,0
03_ordered_list,5,1,20,1,LEFT,0
03_ordered_list,6,2,0,1,LEFT,0
03_ordered_list,7,2,0,1,LEFT,1100
03_ordered_list,8,2,0,1,LEFT,2200
03_ordered_list,9,1,0,1,JUSTIFY,9000
03_ordered_list,10,1,0,1,JUSTIFY,10000
03_ordered_list,11,1,0,1,JUSTIFY,8000
03_ordered_list,12,0,0,1,JUSTIFY,0
03_ordered_list,13,1,0,1,JUSTIFY,0
03_ordered_list,14,1,0,1,JUSTIFY,0
03_ordered_list,15,1,0,1,LEFT,0
03_ordered_list,16,1,0,1,JUSTIFY,0
03_ordered_list,17,1,0,1,LEFT,0
03_ordered_list,18,1,0,1,LEFT,0
03_ordered_list,19,1,0,1,LEFT,0
03_ordered_list,20,1,0,1,LEFT,0
03_ordered_list,21,1,0,1,LEFT,0
03_ordered_list,22,1,0,1,JUSTIFY,1200
03_ordered_list,23,1,0,1,JUSTIFY,3600
03_ordered_list,24,1,0,1,JUSTIFY,7200
03_ordered_list,25,1,0,1,JUSTIFY,0
03_ordered_list,26,1,0,1,JUSTIFY,1200
03_ordered_list,27,1,0,1,JUSTIFY,3600
03_ordered_list,28,1,0,1,JUSTIFY,7200
04_blockquote_code,0,1,20,1,JUSTIFY,6000
04_blockquote_code,1,1,20,1,JUSTIFY,7000
04_blockquote_code,2,0,0,1,JUSTIFY,0
04_blockquote_code,3,0,0,1,JUSTIFY,0
04_blockquote_code,4,0,0,1,LEFT,0
04_blockquote_code,5,1,20,1,LEFT,0
04_blockquote_code,6,2,0,1,LEFT,0
04_blockquote_code,7,2,0,1,LEFT,1100
04_blockquote_code,8,2,0,1,LEFT,2200
04_blockquote_code,9,1,0,1,JUSTIFY,9000
04_blockquote_code,10,1,0,1,JUSTIFY,10000
04_blockquote_code,11,1,0,1,JUSTIFY,8000
04_blockquote_code,12,0,0,1,JUSTIFY,0
