sample,id,name,engName,type,paraPrIDRef,charPrIDRef
base,0,바탕글,Normal,PARA,18,5
base,1,본문,Body,PARA,19,5
base,2,개요 1,Outline 1,PARA,0,0
base,3,개요 2,Outline 2,PARA,1,0
base,4,개요 3,Outline 3,PARA,2,0
base,5,개요 4,Outline 4,PARA,3,0
base,6,개요 5,Outline 5,PARA,4,0
base,7,개요 6,Outline 6,PARA,5,0
base,8,개요 7,Outline 7,PARA,6,0
base,9,개요 8,Outline 8,PARA,16,0
base,10,개요 9,Outline 9,PARA,14,0
base,11,개요 10,Outline 10,PARA,15,0
base,12,쪽 번호,Page Number,CHAR,0,6
base,13,머리말,Header,PARA,7,1
base,14,각주,Footnote,PARA,8,2
base,15,미주,Endnote,PARA,8,2
base,16,메모,Memo,PARA,9,8
base,17,차례 제목,TOC Heading,PARA,10,3
base,18,차례 1,TOC 1,PARA,11,4
base,19,차례 2,TOC 2,PARA,12,4
base,20,차례 3,TOC 3,PARA,13,4
base,21,캡션,Caption,PARA,17,0
01_headings,0,바탕글,Normal,PARA,13,5
01_headings,1,본문,Body,PARA,14,5
01_headings,2,개요 1,Outline 1,PARA,15,9
01_headings,3,개요 2,Outline 2,PARA,17,10
01_headings,4,개요 3,Outline 3,PARA,18,10
01_headings,5,개요 4,Outline 4,PARA,19,11
01_headings,6,개요 5,Outline 5,PARA,20,12
01_headings,7,개요 6,Outline 6,PARA,0,0
01_headings,8,개요 7,Outline 7,PARA,1,0
01_headings,9,개요 8,Outline 8,PARA,11,0
01_headings,10,개요 9,Outline 9,PARA,9,0
01_headings,11,개요 10,Outline 10,PARA,10,0
01_headings,12,쪽 번호,Page Number,CHAR,0,6
01_headings,13,머리말,Header,PARA,2,1
01_headings,14,각주,Footnote,PARA,3,2
01_headings,15,미주,Endnote,PARA,3,2
01_headings,16,메모,Memo,PARA,4,8
01_headings,17,차례 제목,TOC Heading,PARA,5,3
01_headings,18,차례 1,TOC 1,PARA,6,4
01_headings,19,차례 2,TOC 2,PARA,7,4
01_headings,20,차례 3,TOC 3,PARA,8,4
01_headings,21,캡션,Caption,PARA,12,0
02_bullet_list,0,바탕글,Normal,PARA,13,5
02_bullet_list,1,본문,Body,PARA,14,5
02_bullet_list,2,개요 1,Outline 1,PARA,15,9
02_bullet_list,3,개요 2,Outline 2,PARA,17,10
02_bullet_list,4,개요 3,Outline 3,PARA,18,10
02_bullet_list,5,개요 4,Outline 4,PARA,19,11
02_bullet_list,6,네모,,PARA,22,13
02_bullet_list,7,동그라미,,PARA,23,13
02_bullet_list,8,줄,,PARA,24,13
02_bullet_list,9,개요 5,Outline 5,PARA,20,12
02_bullet_list,10,개요 6,Outline 6,PARA,0,0
02_bullet_list,11,개요 7,Outline 7,PARA,1,0
02_bullet_list,12,개요 8,Outline 8,PARA,11,0
02_bullet_list,13,개요 9,Outline 9,PARA,9,0
02_bullet_list,14,개요 10,Outline 10,PARA,10,0
02_bullet_list,15,쪽 번호,Page Number,CHAR,0,6
02_bullet_list,16,머리말,Header,PARA,2,1
02_bullet_list,17,각주,Footnote,PARA,3,2
02_bullet_list,18,미주,Endnote,PARA,3,2
02_bullet_list,19,메모,Memo,PARA,4,8
02_bullet_list,20,차례 제목,TOC Heading,PARA,5,3
02_bullet_list,21,차례 1,TOC 1,PARA,6,4
02_bullet_list,22,차례 2,TOC 2,PARA,7,4
02_bullet_list,23,차례 3,TOC 3,PARA,8,4
02_bullet_list,24,캡션,Caption,PARA,12,0
03_ordered_list,0,바탕글,Normal,PARA,13,6
03_ordered_list,1,본문,Body,PARA,14,6
03_ordered_list,2,개요 1,Outline 1,PARA,15,10
03_ordered_list,3,개요 2,Outline 2,PARA,17,11
03_ordered_list,4,개요 3,Outline 3,PARA,18,11
03_ordered_list,5,개요 4,Outline 4,PARA,19,12
03_ordered_list,6,번호1,,PARA,26,6
03_ordered_list,7,번호2,,PARA,27,6
03_ordered_list,8,번호3,,PARA,28,6
03_ordered_list,9,네모,,PARA,22,14
03_ordered_list,10,동그라미,,PARA,23,14
03_ordered_list,11,줄,,PARA,24,14
03_ordered_list,12,개요 5,Outline 5,PARA,20,13
03_ordered_list,13,개요 6,Outline 6,PARA,0,0
03_ordered_list,14,개요 7,Outline 7,PARA,1,0
03_ordered_list,15,개요 8,Outline 8,PARA,11,0
03_ordered_list,16,개요 9,Outline 9,PARA,9,0
03_ordered_list,17,개요 10,Outline 10,PARA,10,0
03_ordered_list,18,쪽 번호,Page Number,CHAR,0,7
03_ordered_list,19,머리말,Header,PARA,2,2
03_ordered_list,20,각주,Footnote,PARA,3,3
03_ordered_list,21,미주,Endnote,PARA,3,3
03_ordered_list,22,메모,Memo,PARA,4,9
03_ordered_list,23,차례 제목,TOC Heading,PARA,5,4
03_ordered_list,24,차례 1,TOC 1,PARA,6,5
03_ordered_list,25,차례 2,TOC 2,PARA,7,5
03_ordered_list,26,차례 3,TOC 3,PARA,8,5
03_ordered_list,27,캡션,Caption,PARA,12,0
04_blockquote_code,0,바탕글,Normal,PARA,13,7
04_blockquote_code,1,본문,Body,PARA,14,7
04_blockquote_code,2,개요 1,Outline 1,PARA,16,11
04_blockquote_code,3,개요 2,Outline 2,PARA,18,12
04_blockquote_code,4,개요 3,Outline 3,PARA,19,12
04_blockquote_code,5,개요 4,Outline 4,PARA,20,13
04_blockquote_code,6,인용,,PARA,31,1
04_blockquote_code,7,코드,,PARA,15,4
04_blockquote_code,8,번호1,,PARA,27,7
04_blockquote_code,9,번호2,,PARA,28,7
04_blockquote_code,10,번호3,,PARA,29,7
04_blockquote_code,11,네모,,PARA,23,15
04_blockquote_code,12,동그라미,,PARA,24,15
04_blockquote_code,13,줄,,PARA,25,15
04_blockquote_code,14,개요 5,Outline 5,PARA,21,14
04_blockquote_code,15,개요 6,Outline 6,PARA,0,0
04_blockquote_code,16,개요 7,Outline 7,PARA,1,0
04_blockquote_code,17,개요 8,Outline 8,PARA,11,0
04_blockquote_code,18,개요 9,Outline 9,PARA,9,0
04_blockquote_code,19,개요 10,Outline 10,PARA,10,0
04_blockquote_code,20,쪽 번호,Page Number,CHAR,0,8
04_blockquote_code,21,머리말,Header,PARA,2,2
04_blockquote_code,22,각주,Footnote,PARA,3,3
04_blockquote_code,23,미주,Endnote,PARA,3,3
04_blockquote_code,24,메모,Memo,PARA,4,10
04_blockquote_code,25,차례 제목,TOC Heading,PARA,5,5
04_blockquote_code,26,차례 1,TOC 1,PARA,6,6
04_blockquote_code,27,차례 2,TOC 2,PARA,7,6
04_blockquote_code,28,차례 3,TOC 3,PARA,8,6
04_blockquote_code,29,캡션,Caption,PARA,12,0
